,States
0,Arizona
1,California
2,Colorado
3,England
4,Florida
5,Georgia
6,Germany
7,Illinois
8,Indiana
9,Louisiana
10,Maryland
11,Massachusetts
12,Michigan
13,Minnesota
14,Missouri
15,Nevada
16,New Jersey
17,New York
18,North Carolina
19,Ohio
20,Pennsylvania
21,Tennessee
22,Texas
23,Washington
24,Wisconsin
