,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,at Detroit Lions,W 38–35,1–0,Ford Field,Recap,Philadelphia Eagles,None (indoor stadium),72,12:00,Detroit,Michigan,2022
1,2,September 19,Minnesota Vikings,W 24–7,2–0,Lincoln Financial Field,Recap,Philadelphia Eagles,Cloudy,76,19:30,Philadelphia,Pennsylvania,2022
2,3,September 25,at Washington Commanders,W 24–8,3–0,FedExField,Recap,Philadelphia Eagles,Sunny,72,12:00,Landover,Maryland,2022
3,4,October 2,Jacksonville Jaguars,W 29–21,4–0,Lincoln Financial Field,Recap,Philadelphia Eagles,Rain,59,12:00,Philadelphia,Pennsylvania,2022
4,5,October 9,at Arizona Cardinals,W 20–17,5–0,State Farm Stadium,Recap,Philadelphia Eagles,None (retractable roof closed),72,15:25,Glendale,Arizona,2022
5,6,October 16,Dallas Cowboys,W 26–17,6–0,Lincoln Financial Field,Recap,Philadelphia Eagles,Clear,63,19:20,Philadelphia,Pennsylvania,2022
6,7,Bye,Bye,Bye,Bye,Bye,Bye,Philadelphia Eagles,,,,,,2022
7,8,October 30,Pittsburgh Steelers,W 35–13,7–0,Lincoln Financial Field,Recap,Philadelphia Eagles,Sunny,61,12:00,Philadelphia,Pennsylvania,2022
8,9,November 3,at Houston Texans,W 29–17,8–0,NRG Stadium,Recap,Philadelphia Eagles,None (retractable roof closed),72,19:15,Houston,Texas,2022
9,10,November 14,Washington Commanders,L 21–32,8–1,Lincoln Financial Field,Recap,Philadelphia Eagles,Clear,40,20:15,Philadelphia,Pennsylvania,2022
10,11,November 20,at Indianapolis Colts,W 17–16,9–1,Lucas Oil Stadium,Recap,Philadelphia Eagles,None (retractable roof closed),72,13:00,Indianapolis,Indiana,2022
11,12,November 27,Green Bay Packers,W 40–33,10–1,Lincoln Financial Field,Recap,Philadelphia Eagles,Cloudy,61,20:20,Philadelphia,Pennsylvania,2022
12,13,December 4,Tennessee Titans,W 35–10,11–1,Lincoln Financial Field,Recap,Philadelphia Eagles,Mostly sunny,45,13:00,Philadelphia,Pennsylvania,2022
13,14,December 11,at New York Giants,W 48–22,12–1,MetLife Stadium,Recap,Philadelphia Eagles,Overcast,37,13:00,East Rutherford,New Jersey,2022
14,15,December 18,at Chicago Bears,W 25–20,13–1,Soldier Field,Recap,Philadelphia Eagles,Sunny,18,13:00,Chicago,Illinois,2022
15,16,December 24,at Dallas Cowboys,L 34–40,13–2,AT&T Stadium,Recap,Philadelphia Eagles,None (retractable roof closed),72,16:25,Arlington,Texas,2022
16,17,January 1,New Orleans Saints,L 10–20,13–3,Lincoln Financial Field,Recap,Philadelphia Eagles,Sunny,55,13:00,Philadelphia,Pennsylvania,2022
17,18,January 8,New York Giants,W 22–16,14–3,Lincoln Financial Field,Recap,Philadelphia Eagles,Partly cloudy,42,16:25,Philadelphia,Pennsylvania,2022
